model,alfworld_precision,alfworld_recall,alfworld_f1_score,lumos_precision,lumos_recall,lumos_f1_score,os_precision,os_recall,os_f1_score,toolalpaca_precision,toolalpaca_recall,toolalpaca_f1_score,toolbench_precision,toolbench_recall,toolbench_f1_score,webshop_precision,webshop_recall,webshop_f1_score
Qwen2.5-32B-Instruct,0.5523181679431681,0.6208135881212808,0.5693733134038534,,,,0.835,0.9133333333333333,0.8547005772005771,0.7388888888888889,0.7125448028673836,0.7021564457048325,0.7642230576441102,0.7875730994152048,0.7496519075466445,0.8170426065162912,0.7060150375939852,0.7507459124000476
Phi-3.5-mini-instruct,,,,,,,,,,,,,,,,,,
Qwen2.5-14B-Instruct,0.5473980079749311,0.586823806535345,0.5438083129618038,0.7055922605002358,0.7030480085694814,0.6742088738479936,0.8208333333333334,0.8758333333333332,0.8280627705627704,0.6272657450076804,0.6713261648745521,0.6189788109142945,0.76906236178682,0.742251461988304,0.728648008911167,0.7858395989974942,0.6749373433583964,0.715939741127711
qwen-2.5-7b-chat-wanda-2-4-0.5,0.5267045454545455,0.493569731550501,0.4932409504465352,0.6259746161586652,0.6794381147141888,0.6323103844576251,0.8219047619047618,0.8350000000000002,0.7899747474747473,0.08602150537634408,0.08512544802867383,0.08341013824884792,0.0,0.0,0.0,0.7794486215538853,0.6686716791979951,0.7135099653896646
Qwen2.5-7B-Instruct-W8A8-smooth0.8,0.46124919557737015,0.5579544920891076,0.4752058506744981,,,,0.766904761904762,0.9175000000000001,0.806144411144411,0.031541218637992835,0.04032258064516129,0.0347926267281106,0.0,0.0,0.0,0.8093984962406018,0.7042606516290729,0.7464792934717747
llama-3.1-8B-Instruct-awq-w4-g128-zp,0.5768491124260354,0.46419360553975936,0.4983478356929271,0.5442618560716717,0.7419661115980137,0.6100781404462393,0.7475,0.8941666666666667,0.7903643578643579,0.07741935483870967,0.08960573476702507,0.07826420890937019,0.0,0.0,0.0,0.7158521303258147,0.7025062656641605,0.7011771853877113
llama-3.1-8B-Instruct-W8A8-smooth0.8,,,,,,,0.7808333333333334,0.8591666666666669,0.7919733044733045,0.057526881720430106,0.07168458781362007,0.06108550947260624,0.0,0.0,0.0,0.569172932330827,0.5617794486215542,0.5571249552452557
internlm-2.5-7b-chat-wanda-un0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6866666666666668,0.7508333333333332,0.6917604617604618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen2.5-32B-Instruct-GPTQ-Int4,0.5237548331298331,0.5758294590025359,0.5348003682019543,0.6362742233907877,0.6356802025513684,0.6130671759506121,0.8116666666666668,0.8925000000000001,0.8323051948051947,0.6916794674859192,0.6775985663082438,0.6622711816260202,0.7783208020050124,0.7685672514619885,0.749696210222526,0.803759398496241,0.6939849624060153,0.7379460556152285
Qwen2.5-1.5B-Instruct-AWQ,0.6059717526063682,0.497696801062186,0.529297401801272,0.6062372188139052,0.691333138572402,0.6288123901440404,0.775,0.8200000000000001,0.7682647907647906,0.3938769414575865,0.6865591397849461,0.48417944063105334,0.3913334472545,0.6169590643274854,0.4582675122148804,0.8157894736842107,0.6984962406015038,0.7457333810717268
DeepSeek-R1-Distill-Llama-8B,0.05072878510378509,0.04465811965811966,0.04662004662004662,0.004430811179277436,0.005112474437627812,0.004703476482617586,0.7991666666666666,0.8141666666666666,0.7724494949494951,0.16036354326676905,0.27508960573476704,0.1919348274186984,0.3102671207934366,0.4385964912280701,0.3446289334447229,0.3596491228070175,0.3082706766917293,0.3296037713330946
qwen-2.5-7b-chat-magnitude-2-4-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mistral-7B-Instruct-v0.3-W8A8-smooth0.8,0.6404650904650907,0.6265525606871762,0.6135138147891571,0.6631642159249524,0.6782646801051714,0.6426493631473794,0.6675,0.8466666666666667,0.7214033189033188,0.0,0.0,0.0,0.0,0.0,0.0,0.7743823845327608,0.7041353383458648,0.7259414770692967
internlm3-8b-instruct-awq,,,,,,,,,,,,,,,,,,
Qwen2.5-14B-Instruct-AWQ,0.6015844109594111,0.5796924763270918,0.5739785120668381,0.7603872496510533,0.665687992988607,0.6741662053011755,0.8058333333333334,0.89,0.8233441558441559,0.6567588325652841,0.6596774193548388,0.6296560070753617,0.7034670008354219,0.6640350877192983,0.6649818991924255,0.7983709273182962,0.699122807017544,0.737379162191192
Qwen2.5-1.5B-Instruct-GPTQ-Int8,0.6205535205535205,0.5159543981659369,0.5444086440367256,0.6565115071250045,0.7064125036517682,0.6604434079894216,0.7958333333333333,0.8383333333333333,0.7857647907647907,0.4394905273937532,0.6637992831541218,0.5031424756282439,0.4389967975494291,0.6764619883040935,0.5139185862870069,0.8132832080200505,0.7022556390977446,0.7469328082110038
internlm3-8b-instruct,,,,,,,,,,,,,,,,,,
internlm-2.5-7b-chat-sparsegpt-2-4-0.5,0.3317478817478817,0.4694109843148304,0.37575049029665575,0.3427363025522534,0.35978673678060175,0.3361152111918989,0.625,0.7783333333333333,0.6689285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.7644110275689228,0.6530075187969928,0.6981143334526796
DeepSeek-R1-Distill-Qwen-7B,0.004487179487179487,0.003205128205128205,0.0035612535612535613,0.006339468302658487,0.005112474437627812,0.005282890252215405,0.6933333333333336,0.8841666666666667,0.7525865800865801,0.12123820027045835,0.22043010752688172,0.14755773427500185,0.2370832383990278,0.3976608187134502,0.2845206450469609,0.0,0.0,0.0
internlm3-8b-instruct-gptq-int4,,,,,,,,,,,,,,,,,,
Qwen2.5-3B-Instruct-GPTQ-Int8,0.3936606128913822,0.3592589034896728,0.3616264651552235,0.4101139329138057,0.3850131463628397,0.3505730267233339,0.7183333333333334,0.8675,0.7611083361083361,,,,0.6806243707559496,0.7619883040935673,0.6812153489785067,0.760025062656642,0.642606516290727,0.6802005012531328
qwen-2.5-7b-chat-sparsegpt-un0.5,0.4890980960551093,0.5147949806603656,0.4770333440183386,,,,0.7816666666666666,0.9108333333333334,0.8185822510822511,0.07974910394265232,0.07168458781362007,0.07386072708653355,0.0,0.0,0.0,0.7983709273182962,0.7110275689223059,0.7449467825407674
